symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,State,Date first added,CIK,Founded,id,class,exchange,name,status,tradable,marginable,shortable,easy_to_borrow,fractionable
DISCA,"Discovery, Inc. (Series A)",reports,Communication Services,Broadcasting,New York, New York,3/1/2010,1437107,1985,424479b5-8c8c-458b-a624-df9fef95387c,us_equity,NASDAQ,"Discovery, Inc. Series A Common Stock",active,TRUE,TRUE,TRUE,TRUE,TRUE
V,Visa Inc.,reports,Information Technology,Data Processing & Outsourced Services,San Francisco, California,12/21/2009,1403161,1958,4f5baf1e-0e9b-4d85-b88a-d874dc4a3c42,us_equity,NYSE,VISA Inc.,active,TRUE,TRUE,TRUE,TRUE,TRUE
WDC,Western Digital,reports,Information Technology,"Technology Hardware, Storage & Peripherals",San Jose, California,7/1/2009,106040,1970,70cb03f3-2184-4a3a-b04c-ad5ff9524612,us_equity,NASDAQ,Western Digital Corporation Common Stock,active,TRUE,TRUE,TRUE,TRUE,TRUE
NDAQ,"Nasdaq, Inc.",reports,Financials,Financial Exchanges & Data,New York, New York,10/22/2008,1120193,1971,cd5c9e8e-df7c-435b-b301-c75eae954069,us_equity,NASDAQ,"Nasdaq, Inc. Common Stock",active,TRUE,TRUE,TRUE,TRUE,TRUE
CRM,Salesforce.com,reports,Information Technology,Application Software,San Francisco, California,9/15/2008,1108524,1999,cf80d13f-470c-4947-8593-c5e098aeba4e,us_equity,NYSE,"salesforce.com, inc.",active,TRUE,TRUE,TRUE,TRUE,TRUE
IVZ,Invesco Ltd.,reports,Financials,Asset Management & Custody Banks,Atlanta, Georgia,8/21/2008,914208,1935,4c95e7ec-088b-4406-b011-f3db977acb5a,us_equity,NYSE,Invesco LTD,active,TRUE,TRUE,TRUE,TRUE,TRUE
PM,Philip Morris International,reports,Consumer Staples,Tobacco,New York, New York,3/31/2008,1413329,2008 (1847),b19c4863-d517-4472-9236-8864e50dfa3e,us_equity,NYSE,Philip Morris International Inc.,active,TRUE,TRUE,TRUE,TRUE,TRUE
ICE,Intercontinental Exchange,reports,Financials,Financial Exchanges & Data,Atlanta, Georgia,9/26/2007,1571949,2000,dab97681-1775-47b8-922a-d23a4e50744d,us_equity,NYSE,Intercontinental Exchange  Inc.,active,TRUE,TRUE,TRUE,TRUE,TRUE
AIZ,Assurant,reports,Financials,Multi-line Insurance,New York, New York,4/10/2007,1267238,1892,85000f80-734c-4f0c-b20a-7b7c1e9ec200,us_equity,NYSE,"Assurant, Inc.",active,TRUE,TRUE,TRUE,TRUE,TRUE
RL,Ralph Lauren Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York, New York,2/2/2007,1037038,1967,fbb8f455-52fc-4b2e-850e-ee30fe76f494,us_equity,NYSE,Ralph Lauren Corporation,active,TRUE,TRUE,TRUE,TRUE,TRUE
EL,Estée Lauder Companies,reports,Consumer Staples,Personal Products,New York, New York,1/5/2006,1001250,1946,4cdbdf28-5c76-463f-bce0-23bcb2d3bb49,us_equity,NYSE,The Estee Lauder Companies Inc. Class A,active,TRUE,TRUE,TRUE,TRUE,TRUE
PLD,Prologis,reports,Real Estate,Industrial REITs,San Francisco, California,7/17/2003,1045609,1983,32d00bae-5f6a-4712-9c18-3a007524fa3f,us_equity,NYSE,"PROLOGIS, INC.",active,TRUE,TRUE,TRUE,TRUE,TRUE
TRV,The Travelers Companies,reports,Financials,Property & Casualty Insurance,New York, New York,8/21/2002,86312,1853,af898beb-7df0-4dea-8b02-d6c5f4f70137,us_equity,NYSE,"The Travelers Companies, Inc.",active,TRUE,TRUE,TRUE,TRUE,TRUE
EBAY,eBay Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,San Jose, California,7/22/2002,1065088,1995,10b35642-7d26-47d1-8987-4f7a7632d273,us_equity,NASDAQ,eBay Inc. Common Stock,active,TRUE,TRUE,TRUE,TRUE,TRUE
GS,Goldman Sachs Group,reports,Financials,Investment Banking & Brokerage,New York, New York,7/22/2002,886982,1869,064dd45f-7a58-452c-93f2-377f9a0cc7f2,us_equity,NYSE,Goldman Sachs Group Inc.,active,TRUE,TRUE,TRUE,TRUE,TRUE
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,Atlanta, Georgia,7/22/2002,1090727,1907,b14caeab-f212-40ee-975a-38b9317e46b1,us_equity,NYSE,"United Parcel Service, Inc. Class B",active,TRUE,TRUE,TRUE,TRUE,TRUE
ZION,Zions Bancorp,reports,Financials,Regional Banks,Salt Lake City, Utah,6/22/2001,109380,1873,48cbc81a-1c23-4356-92b0-207871c6f6a3,us_equity,NASDAQ,Zions Bancorporation N.A. Common Stock,active,TRUE,TRUE,TRUE,TRUE,TRUE
XLNX,Xilinx,reports,Information Technology,Semiconductors,San Jose, California,11/8/1999,743988,1984,346931c8-f921-4834-87e6-a0505d5d0b5d,us_equity,NASDAQ,"Xilinx, Inc. Common Stock",active,TRUE,TRUE,TRUE,TRUE,TRUE
EFX,Equifax Inc.,reports,Industrials,Research & Consulting Services,Atlanta, Georgia,6/19/1997,33185,1899,1fa4e2fb-538e-4ed6-b548-f2c591f1fb5d,us_equity,NYSE,"Equifax, Incorporated",active,TRUE,TRUE,TRUE,TRUE,TRUE
ADBE,Adobe Inc.,reports,Information Technology,Application Software,San Jose, California,5/5/1997,796343,1982,2ac633b5-b3a7-4ba6-975d-f0f1e12dd1e4,us_equity,NASDAQ,Adobe Inc. Common Stock,active,TRUE,TRUE,TRUE,TRUE,TRUE
BK,The Bank of New York Mellon,reports,Financials,Asset Management & Custody Banks,New York, New York,3/31/1995,1390777,1784,64d27c2a-18a1-4848-b205-73b5d428d5f9,us_equity,NYSE,Bank of New York Mellon Corporation,active,TRUE,TRUE,TRUE,TRUE,TRUE
CSCO,Cisco Systems,reports,Information Technology,Communications Equipment,San Jose, California,12/1/1993,858877,1984,9ec078b1-5167-4d3d-908c-a1e49be367f1,us_equity,NASDAQ,"Cisco Systems, Inc. Common Stock (DE)",active,TRUE,TRUE,TRUE,TRUE,TRUE
IPG,Interpublic Group,reports,Communication Services,Advertising,New York, New York,10/1/1992,51644,1961 (1930),d5d0fef5-06f8-49af-a93b-6b4aa52a37db,us_equity,NYSE,"The Interpublic Group of Companies, Inc.",active,TRUE,TRUE,TRUE,TRUE,TRUE
NWL,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties,Atlanta, Georgia,4/30/1989,814453,1903,51dc5fc6-c891-4293-a435-f09ca03dcfc4,us_equity,NASDAQ,Newell Brands Inc. Common Stock,active,TRUE,TRUE,TRUE,TRUE,TRUE
C,Citigroup Inc.,reports,Financials,Diversified Banks,New York, New York,5/31/1988,831001,1998,36c8d04d-be51-476c-9382-0b6ea3bf1a26,us_equity,NYSE,Citigroup Inc.,active,TRUE,TRUE,TRUE,TRUE,TRUE
HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,Atlanta, Georgia,3/31/1988,354950,1978,b6b1ea06-5d71-4146-be77-03f671788940,us_equity,NYSE,"Home Depot, Inc.",active,TRUE,TRUE,TRUE,TRUE,TRUE
MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,New York, New York,8/31/1987,62709,1905,219700d3-c988-4d18-b38d-6a3be1156833,us_equity,NYSE,"Marsh & McLennan Companies, Inc.",active,TRUE,TRUE,TRUE,TRUE,TRUE
GPS,Gap Inc.,reports,Consumer Discretionary,Apparel Retail,San Francisco, California,8/31/1986,39911,1969,9e4ef521-d808-4471-b5a5-b3abd456a1f2,us_equity,NYSE,"The Gap, Inc.",active,TRUE,TRUE,TRUE,TRUE,TRUE
